group,mass_bin,T_bin,O2_bin,n
demersal,10^1 g,2.25,20.25,43
demersal,10^1 g,2.25,20.75,8
demersal,10^1 g,2.25,21.25,267
demersal,10^1 g,2.25,21.75,1
demersal,10^1 g,2.25,23.25,2
demersal,10^1 g,2.75,1.25,1
demersal,10^1 g,2.75,6.75,1
demersal,10^1 g,2.75,8.25,1
demersal,10^1 g,2.75,10.25,2
demersal,10^1 g,2.75,12.25,4
demersal,10^1 g,2.75,13.25,40
demersal,10^1 g,2.75,14.25,2
demersal,10^1 g,2.75,14.75,8
demersal,10^1 g,2.75,15.25,75
demersal,10^1 g,2.75,15.75,4
demersal,10^1 g,2.75,16.25,10
demersal,10^1 g,2.75,16.75,6
demersal,10^1 g,2.75,17.25,1
demersal,10^1 g,2.75,17.75,4
demersal,10^1 g,2.75,18.25,3
demersal,10^1 g,2.75,18.75,10
demersal,10^1 g,2.75,19.25,10
demersal,10^1 g,2.75,19.75,31
demersal,10^1 g,2.75,20.25,53
demersal,10^1 g,2.75,20.75,5
demersal,10^1 g,2.75,21.25,3
demersal,10^1 g,2.75,21.75,1
demersal,10^1 g,2.75,22.25,1
demersal,10^1 g,3.25,3.75,1
demersal,10^1 g,3.25,4.25,2
demersal,10^1 g,3.25,5.25,2
demersal,10^1 g,3.25,5.75,2
demersal,10^1 g,3.25,6.25,1
demersal,10^1 g,3.25,6.75,6
demersal,10^1 g,3.25,7.25,1
demersal,10^1 g,3.25,7.75,2
demersal,10^1 g,3.25,8.25,1
demersal,10^1 g,3.25,9.25,2
demersal,10^1 g,3.25,9.75,2
demersal,10^1 g,3.25,11.75,3
demersal,10^1 g,3.25,13.25,3
demersal,10^1 g,3.25,14.25,2
demersal,10^1 g,3.25,14.75,1
demersal,10^1 g,3.25,15.75,4
demersal,10^1 g,3.25,16.25,1
demersal,10^1 g,3.25,17.25,3
demersal,10^1 g,3.25,17.75,10
demersal,10^1 g,3.25,18.25,10
demersal,10^1 g,3.25,18.75,57
demersal,10^1 g,3.25,19.25,105
demersal,10^1 g,3.25,19.75,44
demersal,10^1 g,3.25,20.25,29
demersal,10^1 g,3.25,21.25,50
demersal,10^1 g,3.25,21.75,25
demersal,10^1 g,3.25,22.25,6
demersal,10^1 g,3.75,3.25,1
demersal,10^1 g,3.75,4.75,3
demersal,10^1 g,3.75,6.25,2
demersal,10^1 g,3.75,6.75,1
demersal,10^1 g,3.75,8.25,1
demersal,10^1 g,3.75,9.75,10
demersal,10^1 g,3.75,10.75,3
demersal,10^1 g,3.75,11.25,1
demersal,10^1 g,3.75,11.75,3
